Forecast Model,Months Out,MSE,RMSE,MAE,MAPE,MDAPE,Coverage,Accuracy
X MA,3,24.465040597451186,4.944051670750684,4.117950737035914,0.08489515459059005,0.0838397809356807,0.7954545454545454,0.91525
X MA,4,22.91431096087833,4.785110259961842,3.9978717820248026,0.08206933105711339,0.08289432779921282,0.7727272727272727,0.918
X MA,5,23.847002906814325,4.881237563754885,4.025127942018772,0.08380625274749039,0.08225346443709637,0.7272727272727273,0.916375
X MA,6,26.209748413824762,5.116723524346312,4.1873167173398675,0.08891203349088105,0.08417646330031216,0.6969696969696969,0.9111111111111112
X MA,7,26.86123640309485,5.180107769806207,4.227732939614899,0.09110010032341474,0.08406217925503102,0.7171717171717171,0.9088888888888889
X MA,8,26.94107995439885,5.188147565970464,4.195908129427896,0.09068495787799823,0.08377711460362441,0.7070707070707071,0.9093333333333334
X MA,9,26.930237723960662,5.1868815082528545,4.172176199704635,0.09161140671089159,0.08817460379918936,0.7272727272727273,0.9084444444444445
X MA,10,25.561814486575354,5.053641667476085,3.9486168955593177,0.08774399925819727,0.08098824403535182,0.7222222222222222,0.9122222222222223
X MA,11,23.167479873642733,4.810946494889091,3.624067038613328,0.08080749786661187,0.040898616586132044,0.7272727272727272,0.9191111111111111
X MA,12,21.499557941300214,4.63228900401389,3.4639984281926934,0.0768827349681121,0.03702459023000174,0.7424242424242424,0.9231111111111111
X MA,13,20.47607776851832,4.5213377145004605,3.4102425125676628,0.07483917534168284,0.04280788560796114,0.7474747474747475,0.9253333333333335
X MA,14,17.026474920586,4.124232369109065,3.1325400031719486,0.06746165101906168,0.041583068100177006,0.7727272727272727,0.9325555555555556
X MA,15,11.6308577154297,3.405747826584613,2.666417799372862,0.05602240685371264,0.039479411058666106,0.8484848484848485,0.9438888888888888
X MA,16,8.206251613462111,2.8623801632245343,2.4472557328792655,0.05056271897935584,0.039478684931756,0.8888888888888888,0.9493333333333334
X MA,17,8.65276752255263,2.940189754990456,2.5534579540019404,0.052091885578962445,0.039816660041901306,0.8838383838383838,0.948
X MA,18,8.468282870249505,2.908472697263906,2.5371458045702773,0.051082390123831665,0.040353011666094125,0.8838383838383838,0.9491111111111111
X MA,19,8.719525491582841,2.950642041263395,2.6198624291716914,0.05200143470784329,0.040879609318633034,0.8787878787878788,0.948111111111111
X MA,20,9.08880784389276,3.0123802496286647,2.6912028239602956,0.05332725790580949,0.040810806908624306,0.8787878787878788,0.9466666666666667
X MA,21,9.304853194034548,3.0480235896102053,2.655283032040523,0.05318516092877219,0.04031808332204895,0.8737373737373737,0.9468888888888889
X MA,22,9.475285159884022,3.075723646152894,2.610580669132198,0.05164383148169286,0.040395207231236546,0.8838383838383838,0.9484444444444444
X MA,23,9.849674106221293,3.135553485091453,2.635302913170519,0.05100476330266071,0.03964286871278764,0.8888888888888888,0.9490000000000001
X MA,24,10.673472373072102,3.2653221285790885,2.7357998482829147,0.05177455010457312,0.03825467413588611,0.8484848484848485,0.948111111111111
X MA,25,11.905306480863052,3.4478285494672907,2.8567143926697764,0.05313988245558004,0.03932047104210034,0.8080808080808082,0.947
X MA,26,12.956207405490247,3.5964452273410927,2.962208527002101,0.05418748340536291,0.04065763866824715,0.787878787878788,0.9456666666666665
